Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
TDB2584.CF,"TD Tactical Monthly Income Fund Adv- Lsc2",12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952
TDB2585.CF,"TD Tactical Monthly Income Fund F Series - NL",13.53,-0.1207,-0.0284,-0.0091,-0.0667,15.4461,13.4235
TDB2586.CF,"TD Tactical Monthly Income Fund H8 Series - NL",12.94,-0.1295,-0.0301,-0.0127,-0.0786,14.9204,12.8821
TDB2587.CF,"TD Tactical Monthly Income Fund T8 Series - ISC",12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709
TDB2588.CF,"TD Tactical Monthly Income Fund T8 Series - DSC",12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709
TDB2589.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc",12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709
TDB2590.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc2",12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709
TDB2591.CF,"TD Tactical Monthly Income Fund Ft8 Series - NL",14.62,-0.1217,-0.0291,-0.0101,-0.0674,16.7028,14.5088
TDB2593.CF,"TD Tactical Monthly Income Fund -Premium NL",11.62,-0.129,-0.0294,-0.0119,-0.0771,13.3893,11.5621
TDB2594.CF,"TD Tactical Monthly Income Fund-Prem F NL",12.62,-0.1203,-0.0284,-0.0096,-0.066,14.3944,12.5149
TDB2559.CF,"TD Tactical Monthly Income Fund Series K",12.82,-0.1291,-0.0295,-0.0124,-0.0775,14.7679,12.755
TDB3043.CF,"TD Tactical Monthly Income Fund - D Series - NL",10.98,-0.1226,-0.0287,-0.0097,-0.0694,12.5629,10.8989
PHN115.CF,"PH&N Bond Fund Series O - NL",8.9472,-0.1258,-0.0159,-0.009,-0.111,10.2557,8.7828
RBF8115.CF,"PH&N Bond Fund Series O - NL",8.9472,-0.1258,-0.0159,-0.009,-0.111,10.2557,8.7828
CIG1111.CF,"CI Global Income & Growth Fund Class A",9.3581,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962
CIG2111.CF,"CI Global Income & Growth Fund Class A",9.3581,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962
CIG3111.CF,"CI Global Income & Growth Fund Class A",9.3581,-0.151,-0.0172,-0.0154,-0.1028,10.9601,9.0962
CIG4111.CF,"CI Global Income & Growth Fund Class F",9.4875,-0.1437,-0.0163,-0.0127,-0.0928,11.0173,9.1908
CIG5111.CF,"CI Global Income & Growth Fund Class I",9.7388,-0.1348,-0.0153,-0.0094,-0.0805,11.1918,9.3957
CIG90944.CF,"CI Global Income & Growth Fund Series Pp",9.1973,,-0.0154,-0.0097,,9.8355,8.8774
CIG4944.CF,"CI Global Income & Growth Fund Series Y",9.1564,,-0.0162,-0.0123,,9.8414,8.8657
CIG1944.CF,"CI Global Income & Growth Fund Series Z",9.111,,-0.0171,-0.0151,,9.8473,8.8521
CIG2944.CF,"CI Global Income & Growth Fund Series Z",9.111,,-0.0171,-0.0151,,9.8473,8.8521
CIG3944.CF,"CI Global Income & Growth Fund Series Z",9.111,,-0.0171,-0.0151,,9.8473,8.8521
CIG15194.CF,"CI Global Income & Growth Fund Class Ef",10.8088,-0.1422,-0.0161,-0.0121,-0.0906,12.5281,10.4629
CIG90167.CF,"CI Global Income & Growth Fund Class P",9.9347,-0.1364,-0.0154,-0.0099,-0.0827,11.4378,9.5914
CIG16194.CF,"CI Global Income & Growth Fund Class E",13.9997,-0.1493,-0.017,-0.0148,-0.1005,16.364,13.5974
CIG18194.CF,"CI Global Income & Growth Fund Class O",14.5367,-0.136,-0.0154,-0.0098,-0.0821,16.7289,14.0312
PHN716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.613,-0.1284,-0.017,-0.0079,-0.1136,9.8971,8.4635
RBF8716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.613,-0.1284,-0.017,-0.0079,-0.1136,9.8971,8.4635
RBF405.CF,"RBC Canadian Dividend Fund Series A U$ - NL",62.6782,-0.1432,-0.0819,-0.0822,-0.1049,79.1832,62.0849
RBF266.CF,"RBC Canadian Dividend Fund Series A - NL",86.1041,-0.0691,-0.0382,-0.0283,-0.0197,98.8906,85.6297
PHN345.CF,"PH&N Total Return Bond Fund Series O",9.9332,-0.1263,-0.016,-0.0089,-0.111,11.3903,9.7507
RBF8345.CF,"PH&N Total Return Bond Fund Series O",9.9332,-0.1263,-0.016,-0.0089,-0.111,11.3903,9.7507
TDB3549.CF,"TD U.S. Blue Chip Equity Fund H8 Series - NL",13.26,-0.3229,-0.0589,-0.0457,-0.3057,20.5449,12.5907
TDB3554.CF,"TD U.S. Blue Chip Equity Fund Ft5 Series - NL",15.55,-0.3167,-0.0579,-0.0432,-0.2973,23.8348,14.7153
TDB3555.CF,"TD U.S. Blue Chip Equity Fund Ft8 Series - NL",13.86,-0.3167,-0.0581,-0.0435,-0.2974,21.2587,13.1232
TDB3550.CF,"TD U.S. Blue Chip Equity Fund T8 Series - ISC",13.2301,-0.3229,-0.0591,-0.046,-0.3058,20.5026,12.5655
TDB977.CF,"TD U.S. Blue Chip Equity Fund - Investor Ser - N",53.88,-0.3231,-0.059,-0.0464,-0.306,83.52,51.18
TDB123.CF,"TD U.S. Blue Chip Equity Fund - Lsc2",24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076
TDB310.CF,"TD U.S. Blue Chip Equity Fund - FE",24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076
TDB340.CF,"TD U.S. Blue Chip Equity Fund - DSC",24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076
TDB370.CF,"TD U.S. Blue Chip Equity Fund - LL",24.1161,-0.323,-0.059,-0.0463,-0.306,37.3788,22.9076
TDB410.CF,"TD U.S. Blue Chip Equity Fund Series F - NL",32.98,-0.3165,-0.0583,-0.0435,-0.2971,50.55,31.21
TDB3091.CF,"TD U.S. Blue Chip Equity Fund - D",18.75,-0.3187,-0.0583,-0.0439,-0.3004,28.85,17.76
PHN385.CF,"PH&N U.S. Multi-Style All-Cap Equity Fund O - NL",18.9791,-0.1498,-0.0298,-0.0015,-0.0704,22.7065,17.8502
RBF8385.CF,"PH&N U.S. Multi-Style All-Cap Equity Fund O - NL",18.9791,-0.1498,-0.0298,-0.0015,-0.0704,22.7065,17.8502
RBF8417.CF,"RBC Global Equity Focus Fund Series O U$ - NL",15.894,-0.289,-0.0748,-0.0787,-0.246,22.7981,15.6242
PHN8077.CF,"RBC Global Equity Focus Fund Series O",21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154
PHN9077.CF,"RBC Global Equity Focus Fund Series O",21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154
RBF8077.CF,"RBC Global Equity Focus Fund Series O - NL",21.8345,-0.2275,-0.0307,-0.0247,-0.1742,28.6819,20.8154
FID2204.CF,"Fidelity Global Balanced Portfolio Series B - Is",13.816,-0.1394,-0.0103,0.0026,-0.1169,16.2853,13.5997
IGI156.CF,"Iprofile Fixed Income Private Pool Series I - NL",10.7076,-0.0926,-0.0167,-0.0132,-0.0844,11.8149,10.7046
TDB3477.CF,"TD Monthly Income Fund - Ft5 Series - NL",14.24,-0.0903,-0.0352,-0.0259,-0.0509,16.0559,14.24
TDB113.CF,"TD Monthly Income Fund - Advisor Series - Lsc2",21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235
TDB821.CF,"TD Monthly Income Fund - Advisor Series - ISC",21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235
TDB831.CF,"TD Monthly Income Fund - Advisor Series - DSC",21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235
TDB841.CF,"TD Monthly Income Fund - Advisor Series - Lsc",21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235
TDB452.CF,"TD Monthly Income Fund - F Series - NL",15.76,-0.0899,-0.0353,-0.0257,-0.0505,17.7608,15.76
TDB398.CF,"TD Monthly Income Fund - H8 Series - NL",10.68,-0.0944,-0.0364,-0.0273,-0.0573,12.0891,10.68
TDB297.CF,"TD Monthly Income Fund - T8 Series  - Lsc2",10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549
TDB395.CF,"TD Monthly Income Fund - T8 Series - ISC",10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549
TDB396.CF,"TD Monthly Income Fund - T8 Series - DSC",10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549
TDB397.CF,"TD Monthly Income Fund - T8 Series - Lsc",10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549
TDB399.CF,"TD Monthly Income Fund - Ft8 Series - NL",11.4,-0.09,-0.0354,-0.0261,-0.0511,12.847,11.4
TDB622.CF,"TD Monthly Income Fund - Investor Series - NL",23.13,-0.0943,-0.0357,-0.0274,-0.0566,26.1727,23.13
TDB3085.CF,"TD Monthly Income Fund - D Series - NL",11.97,-0.0915,-0.0354,-0.0261,-0.0536,13.5106,11.97
PHN255.CF,"PH&N Short Term Bond & Mortgage Series O - NL",9.3863,-0.0462,-0.0075,-0.0057,-0.049,9.857,9.3244
RBF8255.CF,"PH&N Short Term Bond & Mortgage Series O - NL",9.3863,-0.0462,-0.0075,-0.0057,-0.049,9.857,9.3244
TDB2444.CF,"TD Comfort Balanced Growth Portfolio F - NL",10.38,-0.1464,-0.0263,-0.0189,-0.1004,12.22,10.31
TDB3540.CF,"TD Comfort Balanced Growth Portfolio D Series -",10.86,-0.1482,-0.0269,-0.0199,-0.1033,12.82,10.8
