Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
TDB3477.CF,"TD Monthly Income Fund - Ft5 Series - NL",14.3,-0.0864,-0.0112,-0.0257,-0.0693,16.0559,14
TDB3085.CF,"TD Monthly Income Fund - D Series - NL",12.02,-0.0877,-0.0115,-0.0267,-0.0712,13.5106,11.77
TDB113.CF,"TD Monthly Income Fund - Advisor Series - Lsc2",21.9067,-0.0907,-0.0119,-0.0276,-0.0749,24.6962,21.4464
TDB821.CF,"TD Monthly Income Fund - Advisor Series - ISC",21.9067,-0.0907,-0.0119,-0.0276,-0.0749,24.6962,21.4464
TDB831.CF,"TD Monthly Income Fund - Advisor Series - DSC",21.9067,-0.0907,-0.0119,-0.0276,-0.0749,24.6962,21.4464
TDB841.CF,"TD Monthly Income Fund - Advisor Series - Lsc",21.9067,-0.0907,-0.0119,-0.0276,-0.0749,24.6962,21.4464
TDB452.CF,"TD Monthly Income Fund - F Series - NL",15.82,-0.0864,-0.0117,-0.0262,-0.0689,17.7608,15.49
TDB398.CF,"TD Monthly Income Fund - H8 Series - NL",10.72,-0.091,-0.0125,-0.028,-0.0755,12.0891,10.5
TDB297.CF,"TD Monthly Income Fund - T8 Series  - Lsc2",10.6954,-0.0909,-0.0119,-0.0277,-0.0755,12.0608,10.4707
TDB395.CF,"TD Monthly Income Fund - T8 Series - ISC",10.6954,-0.0909,-0.0119,-0.0277,-0.0755,12.0608,10.4707
TDB396.CF,"TD Monthly Income Fund - T8 Series - DSC",10.6954,-0.0909,-0.0119,-0.0277,-0.0755,12.0608,10.4707
TDB397.CF,"TD Monthly Income Fund - T8 Series - Lsc",10.6954,-0.0909,-0.0119,-0.0277,-0.0755,12.0608,10.4707
TDB399.CF,"TD Monthly Income Fund - Ft8 Series - NL",11.45,-0.086,-0.0112,-0.0259,-0.0691,12.847,11.21
TDB622.CF,"TD Monthly Income Fund - Investor Series - NL",23.22,-0.0907,-0.0118,-0.0273,-0.0749,26.1727,22.73
TDB2444.CF,"TD Comfort Balanced Growth Portfolio F - NL",10.42,-0.1431,-0.0019,-0.028,-0.1092,12.22,10.26
TDB3540.CF,"TD Comfort Balanced Growth Portfolio D Series -",10.9,-0.1451,-0.0027,-0.0294,-0.1124,12.82,10.74
TDB887.CF,"TD Comfort Balanced Growth Portfolio Inv - NL",17.54,-0.1498,-0.0028,-0.0309,-0.1179,20.74,17.29
DJT07506.CF,"Desjardins Canadian Bond Fund W Class",8.433,-0.1474,-0.0425,-0.0539,-0.1286,9.9073,8.399
DJT07006.CF,"Desjardins Canadian Bond Fund D Class",8.758,-0.1522,-0.0432,-0.0556,-0.1347,10.3503,8.724
DJT00006.CF,"Desjardins Canadian Bond Fund A Class - NL",4.798,-0.1562,-0.0437,-0.0571,-0.1397,5.6984,4.78
DJT03806.CF,"Desjardins Canadian Bond Fund F Class - NL",8.804,-0.1518,-0.043,-0.0555,-0.1342,10.3996,8.77
DJT03006.CF,"Desjardins Canadian Bond Fund C Class - FE",8.69,-0.1558,-0.0436,-0.0569,-0.1392,10.3157,8.656
DJT03206.CF,"Desjardins Canadian Bond Fund C Class - DSC",8.69,-0.1558,-0.0436,-0.0569,-0.1392,10.3157,8.656
DJT03406.CF,"Desjardins Canadian Bond Fund C Class - LL",8.69,-0.1558,-0.0436,-0.0569,-0.1392,10.3157,8.656
DJT00606.CF,"Desjardins Canadian Bond Fund I Class - NL",9.056,-0.1474,-0.0425,-0.0539,-0.1286,10.6395,9.019
CIF823.CF,"Capital Group Global Equity Fund (Canada) F - NL",40.1138,-0.2595,0.0295,-0.0036,-0.2577,56.0146,38.5337
