,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
149,149,TDB3500.CF,TD Retirement Balanced Portfolio Ft8 Series - NL,12.1,-0.1303,-0.0249,-0.0275,-0.0928,13.9851,12.1,-0.12,-0.009819967,"6,625 M",10/7/2022,low,small,None,0.155793388
42,42,TDB3088.CF,TD Dividend Growth Fund - D Series - NL,14.68,-0.0491,-0.034,-0.0257,0.0052,16.7158,14.4618,-0.25,-0.016744809,"9,478 M",10/7/2022,medium,medium,10%,0.155858883
184,184,BTG770.CF,Beutel Goodman Canadian Equity Fund Class D - FE,40.6421,-0.0878,-0.0493,-0.045,-0.0474,47.0342,40.6421,-0.7517,-0.018159724,"6,335 M",10/7/2022,medium,small,30%,0.157277798
78,78,TDB2559.CF,TD Tactical Monthly Income Fund Series K,12.82,-0.1291,-0.0295,-0.0124,-0.0775,14.7679,12.755,-0.17,-0.01308699,"8,898 M",10/7/2022,low to medium,medium,None,0.157812623
151,151,TDB3059.CF,TD Retirement Balanced Portfolio D Series - NL,10.59,-0.132,-0.0249,-0.0275,-0.0951,12.2632,10.59,-0.1,-0.009354537,"6,625 M",10/7/2022,low,small,None,0.157998111
76,76,TDB2593.CF,TD Tactical Monthly Income Fund -Premium NL,11.62,-0.129,-0.0294,-0.0119,-0.0771,13.3893,11.5621,-0.15,-0.012744265,"8,898 M",10/7/2022,low to medium,medium,None,0.158033575
66,66,TDB2582.CF,TD Tactical Monthly Income Fund Adv-DSC,12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952,-0.1645,-0.013036518,"8,898 M",10/7/2022,low to medium,medium,None,0.158157997
67,67,TDB2583.CF,TD Tactical Monthly Income Fund Adv - Lsc,12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952,-0.1645,-0.013036518,"8,898 M",10/7/2022,low to medium,medium,None,0.158157997
68,68,TDB2584.CF,TD Tactical Monthly Income Fund Adv- Lsc2,12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952,-0.1645,-0.013036518,"8,898 M",10/7/2022,low to medium,medium,None,0.158157997
65,65,TDB2581.CF,TD Tactical Monthly Income Fund Adv-ISc,12.4539,-0.1293,-0.0298,-0.0126,-0.0782,14.3556,12.3952,-0.1645,-0.013036518,"8,898 M",10/7/2022,low to medium,medium,None,0.158157997
64,64,TDB2580.CF,TD Tactical Monthly Income Fund - Investor Ser -,12.44,-0.1291,-0.0296,-0.0129,-0.0787,14.3429,12.3842,-0.16,-0.012698413,"8,898 M",10/7/2022,low to medium,medium,None,0.158161205
71,71,TDB2587.CF,TD Tactical Monthly Income Fund T8 Series - ISC,12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709,-0.1707,-0.01302775,"8,898 M",10/7/2022,low to medium,medium,None,0.158209605
72,72,TDB2588.CF,TD Tactical Monthly Income Fund T8 Series - DSC,12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709,-0.1707,-0.01302775,"8,898 M",10/7/2022,low to medium,medium,None,0.158209605
73,73,TDB2589.CF,TD Tactical Monthly Income Fund T8 Series - Lsc,12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709,-0.1707,-0.01302775,"8,898 M",10/7/2022,low to medium,medium,None,0.158209605
74,74,TDB2590.CF,TD Tactical Monthly Income Fund T8 Series - Lsc2,12.9321,-0.1293,-0.0298,-0.0126,-0.0784,14.9072,12.8709,-0.1707,-0.01302775,"8,898 M",10/7/2022,low to medium,medium,None,0.158209605
70,70,TDB2586.CF,TD Tactical Monthly Income Fund H8 Series - NL,12.94,-0.1295,-0.0301,-0.0127,-0.0786,14.9204,12.8821,-0.17,-0.012967201,"8,898 M",10/7/2022,low to medium,medium,None,0.158227308
43,43,TDB2926.CF,TD Dividend Growth Fund- Premium Series NL,15.83,-0.0554,-0.0344,-0.0285,-0.0039,18.1137,15.6375,-0.27,-0.016770186,"9,478 M",10/7/2022,medium,medium,10%,0.15835012
52,52,TDB298.CF,TD Dividend Growth Fund H8 Series - NL,9.65,-0.0565,-0.0345,-0.0285,-0.0047,11.0469,9.532,-0.16,-0.016309888,"9,478 M",10/7/2022,medium,medium,15%,0.158927822
47,47,TDB121.CF,TD Dividend Growth Fund - Advisor Series - Lsc2,37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162,-0.6334,-0.016756215,"9,478 M",10/7/2022,medium,medium,10%,0.159003383
48,48,TDB756.CF,TD Dividend Growth Fund - Advisor Series - ISC,37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162,-0.6334,-0.016756215,"9,478 M",10/7/2022,medium,medium,10%,0.159003383
49,49,TDB776.CF,TD Dividend Growth Fund - Advisor Series - DSC,37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162,-0.6334,-0.016756215,"9,478 M",10/7/2022,medium,medium,10%,0.159003383
50,50,TDB796.CF,TD Dividend Growth Fund - Advisor Series - Lsc,37.1675,-0.0559,-0.0349,-0.0286,-0.0044,42.5542,36.7162,-0.6334,-0.016756215,"9,478 M",10/7/2022,medium,medium,15%,0.159003383
46,46,TDB972.CF,TD Dividend Growth Fund - Investor Series - NL,102.34,-0.0559,-0.0349,-0.0286,-0.0045,117.1775,101.1003,-1.75,-0.016812374,"9,478 M",10/7/2022,medium,medium,10%,0.159022278
55,55,TDB099.CF,TD Dividend Growth Fund T8 Series - Lsc,9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427,-0.1626,-0.01675425,"9,478 M",10/7/2022,medium,medium,15%,0.159393232
54,54,TDB098.CF,TD Dividend Growth Fund T8 Series - DSC,9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427,-0.1626,-0.01675425,"9,478 M",10/7/2022,medium,medium,15%,0.159393232
56,56,TDB100.CF,TD Dividend Growth Fund T8 Series - Lsc2,9.5424,-0.0562,-0.0349,-0.0287,-0.005,10.9296,9.427,-0.1626,-0.01675425,"9,478 M",10/7/2022,medium,medium,15%,0.159393232
