Symbol,Name,Last,Change,% Change,Assets Under Management,Time
TDB2773.CF,TD Retirement Balanced Portfolio-Premium NL,17.79,0.1,0.005652911,"6,233 M",11/30/2022
TDB2779.CF,TD Retirement Balanced Portfolio Series K,11.4,0.01,0.000877963,"6,233 M",11/30/2022
TDB3059.CF,TD Retirement Balanced Portfolio D Series - NL,11,0.06,0.005484461,"6,233 M",11/30/2022
TDB3491.CF,TD U.S. Dividend Growth Fund - Ft5 Series - NL,19.24,0.25,0.013164824,"6,226 M",11/30/2022
TDB3410.CF,TD U.S. Dividend Growth Fund - Investor Series -,18.13,0.32,0.017967434,"6,226 M",11/30/2022
TDB3411.CF,TD U.S. Dividend Growth Fund - Advisor Ser - ISC,18.159,0.3211,0.018000998,"6,226 M",11/30/2022
TDB3412.CF,TD U.S. Dividend Growth Fund - Advisor Ser - DSC,18.159,0.3211,0.018000998,"6,226 M",11/30/2022
TDB3413.CF,TD U.S. Dividend Growth Fund - Advisor Ser - Lsc,18.159,0.3211,0.018000998,"6,226 M",11/30/2022
TDB3414.CF,TD U.S. Dividend Growth Fund - Advisor Ser - Lsc,18.159,0.3211,0.018000998,"6,226 M",11/30/2022
TDB3423.CF,TD U.S. Dividend Growth Fund - D Series - NL,18.61,0.33,0.018052516,"6,226 M",11/30/2022
TDB3415.CF,TD U.S. Dividend Growth Fund - F Series - NL,18.77,0.34,0.018448182,"6,226 M",11/30/2022
TDB3416.CF,TD U.S. Dividend Growth Fund - H8 Series - NL,18.15,0.18,0.010016694,"6,226 M",11/30/2022
TDB3421.CF,TD U.S. Dividend Growth Fund - Ft8 Series - NL,19.38,0.2,0.010427529,"6,226 M",11/30/2022
TDB3417.CF,TD U.S. Dividend Growth Fund - T8 Series - ISC,18.1237,0.1817,0.010127076,"6,226 M",11/30/2022
TDB3418.CF,TD U.S. Dividend Growth Fund - T8 Series - DSC,18.1237,0.1817,0.010127076,"6,226 M",11/30/2022
TDB3419.CF,TD U.S. Dividend Growth Fund - T8 Series - Lsc,18.1237,0.1817,0.010127076,"6,226 M",11/30/2022
TDB3420.CF,TD U.S. Dividend Growth Fund - T8 Series - Lsc2,18.1237,0.1817,0.010127076,"6,226 M",11/30/2022
RBF8407.CF,RBC Canadian Dividend Fund Series O U$ - NL,71.7667,1.0844,0.015341889,"6,149 M",11/30/2022
PHN9060.CF,RBC Canadian Dividend Fund Series O - NL,96.537,0.5151,0.005364401,"6,149 M",11/30/2022
RBF167.CF,RBC Canadian Dividend Fund Series O - NL,96.537,0.5151,0.005364401,"6,149 M",11/30/2022
TDB3499.CF,TD Retirement Conservative Portfolio Ft8 - NL,12.51,-0.02,-0.001596169,"5,974 M",11/30/2022
TDB2740.CF,TD Retirement Conservative Portfolio Inv Ser - N,17.69,0.11,0.00625711,"5,974 M",11/30/2022
TDB2741.CF,TD Retirement Conservative Portfolio Adv Ser -Is,17.5819,0.1068,0.006111553,"5,974 M",11/30/2022
TDB2742.CF,TD Retirement Conservative Portfolio Adv Ser -Ds,17.5819,0.1068,0.006111553,"5,974 M",11/30/2022
TDB2743.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,17.5819,0.1068,0.006111553,"5,974 M",11/30/2022
TDB2744.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,17.5819,0.1068,0.006111553,"5,974 M",11/30/2022
