Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low
CIF823.CF,Capital Group Global Equity Fund (Canada) F - NL,43.9738,-0.1883,0.0743,0.0751,-0.1871,54.6614,38.5337
DJT07506.CF,Desjardins Canadian Bond Fund W Class,8.859,-0.1,0.0292,0.0099,-0.0827,9.8599,8.3588
DJT07006.CF,Desjardins Canadian Bond Fund D Class,9.206,-0.1057,0.0287,0.0082,-0.0891,10.314,8.6934
DJT03806.CF,Desjardins Canadian Bond Fund F Class - NL,9.25,-0.1052,0.0287,0.0084,-0.0886,10.3576,8.7346
DJT03006.CF,Desjardins Canadian Bond Fund C Class - FE,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633
DJT03206.CF,Desjardins Canadian Bond Fund C Class - DSC,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633
DJT03406.CF,Desjardins Canadian Bond Fund C Class - LL,9.137,-0.11,0.0281,0.0067,-0.0939,10.2883,8.633
DJT00606.CF,Desjardins Canadian Bond Fund I Class - NL,9.503,-0.1,0.0294,0.0101,-0.0827,10.5767,8.9658
DJT00006.CF,Desjardins Canadian Bond Fund A Class - NL,5.045,-0.1105,0.028,0.0067,-0.0945,5.6835,4.7676
PHN9074.CF,RBC European Equity Fund - O,25.4622,-0.116,0.1022,0.1378,-0.0783,29.2226,21.0126
RBF202.CF,RBC European Equity Fund Series O - NL,25.4622,-0.116,0.1022,0.1378,-0.0783,29.2226,21.0126
BTG770.CF,Beutel Goodman Canadian Equity Fund Class D - FE,45.0218,0.0105,0.0448,0.0441,0.0328,47.0342,40.0697
TDB2928.CF,TD Canadian Equity Fund - Premium Series,16.27,0.049,0.0409,0.0544,0.0781,17.06,14.4
TDB3089.CF,TD Canadian Equity Fund - D - NL,16.45,0.0572,0.0418,0.0572,0.0868,17.15,14.51
TDB161.CF,TD Canadian Equity Fund - Inv - NL,49.96,0.0476,0.0404,0.054,0.0764,52.43,44.25
TDB117.CF,TD Canadian Equity Fund - Advisor Series - Lsc2,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485
TDB308.CF,TD Canadian Equity Fund - Advisor Series - FE,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485
TDB338.CF,TD Canadian Equity Fund - Advisor Series - DSC,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485
TDB368.CF,TD Canadian Equity Fund - Advisor Series - LL,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485
TDB408.CF,TD Canadian Equity Fund - F - NL,22.87,0.0588,0.0414,0.0573,0.0896,23.83,20.17
